t=-1 SYN
t=1 0
t=3 1
t=4 2
t=6 1
t=8 3
t=9 4
t=12 5
t=13 6
t=15 7
t=16 8
t=17 9
t=19 10
t=20 11
t=24 12
t=25 13
t=26 14
t=29 15
t=30 16
t=31 17
t=32 18
t=34 19
t=35 20
t=39 13
t=46 21
t=47 22
t=48 23
t=51 24
t=52 25
t=53 26
t=54 27
t=57 24
t=62 28
t=63 29
t=65 28
t=67 30
t=68 31
t=71 30
t=73 0
t=74 1
t=77 0
t=79 2
t=80 3
t=83 2
t=85 4
t=88 4
t=90 EOT
